Subject, Waytotal, Total, PAG_NVox, AON, AON_NVox, AON_NVoxPath, PirF, PirF_NVox, PirF_NVoxPath, PirT, PirT_NVox, PirT_NVoxPath, Tub, Tub_NVox, Tub_NVoxPath, 
100206, 1300888  , 14265.999930, 267, 191.000029, 330, 107, 3432.000102, 247, 257, 3529.000126, 457, 257, 7114.000090, 189, 263, 
100610, 944237  , 9083.000064, 193, 1173.000015, 484, 135, 2351.999997, 295, 183, 2551.000088, 553, 182, 3006.999924, 201, 178, 
101006, 957602  , 44929.000032, 196, 1483.000065, 288, 171, 13225.000040, 179, 196, 12327.999964, 336, 196, 17892.999930, 169, 195, 
101309, 940309  , 3335.000075, 191, 57.999991, 333, 43, 861.999952, 225, 176, 1267.000064, 425, 176, 1148.000000, 176, 175, 
101915, 939125  , 53234.999907, 191, 666.000000, 342, 144, 11750.999967, 180, 189, 18847.000063, 341, 191, 21971.000074, 161, 191, 
102311, 882814  , 44057.999962, 180, 3053.999973, 376, 159, 8575.000056, 215, 177, 5645.000034, 434, 173, 26784.000018, 167, 177, 
102513, 1034420  , 4090.000036, 209, 59.000015, 373, 37, 1404.000052, 363, 172, 1089.000084, 818, 178, 1538.000055, 254, 155, 
103414, 911888  , 81348.000064, 188, 2314.000044, 271, 171, 23855.000024, 212, 188, 18627.999928, 441, 188, 36551.000044, 127, 188, 
103515, 906952  , 16476.000042, 184, 360.000038, 363, 103, 5186.000052, 202, 174, 4558.999926, 392, 174, 6371.000082, 176, 174, 
103818, 781158  , 12857.000023, 162, 934.000008, 258, 92, 3891.999993, 184, 161, 4310.000000, 396, 160, 3721.000009, 141, 157, 
105115, 1055094  , 5046.999984, 215, 174.000005, 363, 95, 1352.999956, 211, 196, 1412.000000, 448, 200, 2108.000000, 170, 200, 
106016, 823423  , 28942.000022, 169, 482.999952, 234, 122, 8787.000027, 199, 169, 10082.000045, 422, 169, 9589.999978, 147, 169, 
107321, 903651  , 25445.000085, 185, 6069.999943, 240, 161, 5620.000089, 211, 183, 5541.999918, 402, 182, 8213.000075, 160, 185, 
107422, 889832  , 10559.000082, 186, 28.999998, 345, 27, 2598.000064, 229, 176, 2993.999925, 455, 175, 4937.999940, 185, 180, 
108121, 818679  , 30452.999931, 167, 2624.000016, 230, 152, 8401.999959, 205, 167, 8012.000016, 383, 167, 11414.999931, 152, 167, 
108222, 899566  , 7984.999932, 184, 389.000028, 335, 93, 2303.999973, 195, 177, 2732.000040, 431, 180, 2559.999925, 177, 175, 
109830, 811671  , 32131.999990, 166, 381.999940, 325, 133, 9096.999945, 210, 165, 7370.000055, 391, 165, 15282.999990, 164, 166, 
110007, 876037  , 38861.000050, 178, 1038.999976, 247, 161, 7647.000030, 183, 177, 5841.000000, 388, 177, 24334.000002, 120, 177, 
110411, 1066302  , 23960.000067, 219, 381.999942, 350, 149, 7907.999991, 215, 219, 5392.000010, 439, 218, 10278.000033, 157, 219, 
110613, 1046168  , 58242.000106, 214, 299.999952, 424, 102, 17610.000056, 218, 212, 17901.999924, 535, 213, 22429.999932, 169, 213, 
112112, 1026546  , 25674.999932, 207, 383.999940, 322, 135, 6785.000005, 207, 205, 6747.999965, 416, 205, 11758.000090, 165, 205, 
112314, 981053  , 72387.000031, 199, 481.000000, 432, 148, 21602.000036, 217, 199, 15504.000052, 475, 199, 34800.000028, 194, 199, 
112920, 1091300  , 12073.000065, 222, 237.000008, 356, 109, 4288.000025, 246, 211, 3118.000080, 472, 208, 4429.999912, 186, 212, 
113619, 1133895  , 87738.000012, 234, 757.000015, 343, 205, 31877.999946, 210, 234, 16937.999910, 407, 234, 38165.000094, 163, 234, 
113922, 985727  , 89196.000078, 199, 131.999983, 389, 67, 31223.000042, 224, 197, 20328.000025, 498, 193, 37513.000040, 157, 197, 
116524, 873348  , 42203.999961, 180, 266.000028, 317, 73, 13609.000074, 200, 163, 10971.999996, 425, 164, 17357.000004, 152, 171, 
118124, 726157  , 26313.000068, 149, 937.000028, 316, 101, 4163.000046, 160, 138, 4999.999997, 353, 139, 16212.999970, 139, 146, 
118528, 973882  , 59106.000029, 198, 1474.000066, 265, 154, 19826.000018, 214, 197, 10987.000078, 411, 197, 26819.000032, 153, 197, 
119126, 926375  , 17366.000006, 191, 447.000000, 359, 150, 6757.999990, 201, 190, 5525.000082, 376, 191, 4635.999939, 128, 183, 
121416, 982847  , 21537.000024, 204, 259.999980, 421, 106, 5763.999960, 250, 194, 7088.000082, 471, 201, 8425.000024, 193, 196, 
122822, 891826  , 14092.999920, 181, 92.000025, 316, 65, 2755.000024, 213, 172, 2836.000023, 406, 177, 8409.999960, 172, 180, 
123117, 1128317  , 24027.999956, 230, 244.000032, 430, 96, 4214.999892, 246, 222, 4323.000000, 484, 220, 15246.000092, 195, 227, 
124422, 981591  , 42233.000028, 201, 314.999971, 340, 143, 11616.000000, 209, 200, 9298.999957, 436, 199, 21003.000000, 158, 200, 
124826, 1007029  , 30623.999964, 206, 363.000060, 367, 123, 8445.000010, 290, 205, 11088.999982, 505, 206, 10727.000096, 201, 206, 
127630, 948986  , 22492.000074, 199, 340.000050, 323, 130, 7664.000058, 194, 198, 5324.000031, 374, 199, 9163.999944, 146, 198, 
128632, 1037507  , 39517.999920, 212, 6539.000069, 337, 203, 9577.000020, 234, 210, 5656.999944, 412, 212, 17745.000000, 166, 208, 
